4230/10000  err=1.91e-14
4240/10000  err=1.91e-14
4250/10000  err=1.90e-14
4260/10000  err=1.90e-14
4270/10000  err=1.89e-14
4280/10000  err=1.89e-14
4290/10000  err=1.88e-14
4300/10000  err=1.88e-14
4310/10000  err=1.87e-14
4320/10000  err=1.87e-14
4330/10000  err=1.87e-14
4340/10000  err=1.86e-14
4350/10000  err=1.86e-14
4360/10000  err=1.85e-14
4370/10000  err=1.85e-14
4380/10000  err=1.84e-14
4390/10000  err=1.84e-14
4400/10000  err=1.84e-14
4410/10000  err=1.83e-14
4420/10000  err=1.83e-14
4430/10000  err=1.82e-14
4440/10000  err=1.82e-14
4450/10000  err=1.82e-14
4460/10000  err=1.81e-14
4470/10000  err=1.81e-14
4480/10000  err=1.80e-14
4490/10000  err=1.80e-14
4500/10000  err=1.79e-14
4510/10000  err=1.79e-14
4520/10000  err=1.79e-14
4530/10000  err=1.78e-14
4540/10000  err=1.78e-14
4550/10000  err=1.77e-14
4560/10000  err=1.77e-14
4570/10000  err=1.77e-14
4580/10000  err=1.76e-14
4590/10000  err=1.76e-14
4600/10000  err=1.76e-14
4610/10000  err=1.75e-14
4620/10000  err=1.75e-14
4630/10000  err=1.74e-14
4640/10000  err=1.74e-14
4650/10000  err=1.74e-14
4660/10000  err=1.73e-14
4670/10000  err=1.73e-14
4680/10000  err=1.73e-14
4690/10000  err=1.72e-14
4700/10000  err=1.72e-14
4710/10000  err=1.71e-14
4720/10000  err=1.71e-14
4730/10000  err=1.71e-14
4740/10000  err=1.70e-14
4750/10000  err=1.70e-14
4760/10000  err=1.70e-14
4770/10000  err=1.69e-14
4780/10000  err=1.69e-14
4790/10000  err=1.69e-14
4800/10000  err=1.68e-14
4810/10000  err=1.68e-14
4820/10000  err=1.67e-14
4830/10000  err=1.67e-14
4840/10000  err=1.67e-14
4850/10000  err=1.66e-14
4860/10000  err=1.66e-14
4870/10000  err=1.66e-14
4880/10000  err=1.65e-14
4890/10000  err=1.65e-14
4900/10000  err=1.65e-14
4910/10000  err=1.64e-14
4920/10000  err=1.64e-14
4930/10000  err=1.64e-14
4940/10000  err=1.63e-14
4950/10000  err=1.63e-14
4960/10000  err=1.63e-14
4970/10000  err=1.62e-14
4980/10000  err=1.62e-14
4990/10000  err=1.62e-14
5000/10000  err=1.61e-14
5010/10000  err=1.61e-14
5020/10000  err=1.61e-14
5030/10000  err=1.60e-14
5040/10000  err=1.60e-14
5050/10000  err=1.60e-14
5060/10000  err=1.60e-14
5070/10000  err=1.59e-14
5080/10000  err=1.59e-14
5090/10000  err=1.59e-14
5100/10000  err=1.58e-14
5110/10000  err=1.58e-14
5120/10000  err=1.58e-14
5130/10000  err=1.57e-14
5140/10000  err=1.57e-14
5150/10000  err=1.57e-14
5160/10000  err=1.56e-14
5170/10000  err=1.56e-14
5180/10000  err=1.56e-14
5190/10000  err=1.56e-14
5200/10000  err=1.55e-14
5210/10000  err=1.55e-14
5220/10000  err=1.55e-14
5230/10000  err=1.54e-14
5240/10000  err=1.54e-14
5250/10000  err=1.54e-14
5260/10000  err=1.53e-14
5270/10000  err=1.53e-14
5280/10000  err=1.53e-14
5290/10000  err=1.53e-14
5300/10000  err=1.52e-14
5310/10000  err=1.52e-14
5320/10000  err=1.52e-14
5330/10000  err=1.51e-14
5340/10000  err=1.51e-14
5350/10000  err=1.51e-14
5360/10000  err=1.51e-14
5370/10000  err=1.50e-14
5380/10000  err=1.50e-14
5390/10000  err=1.50e-14
5400/10000  err=1.49e-14
5410/10000  err=1.49e-14
5420/10000  err=1.49e-14
5430/10000  err=1.49e-14
5440/10000  err=1.48e-14
5450/10000  err=1.48e-14
5460/10000  err=1.48e-14
5470/10000  err=1.48e-14
5480/10000  err=1.47e-14
5490/10000  err=1.47e-14
5500/10000  err=1.47e-14
5510/10000  err=1.46e-14
5520/10000  err=1.46e-14
5530/10000  err=1.46e-14
5540/10000  err=1.46e-14
5550/10000  err=1.45e-14
5560/10000  err=1.45e-14
5570/10000  err=1.45e-14
5580/10000  err=1.45e-14
5590/10000  err=1.44e-14
5600/10000  err=1.44e-14
5610/10000  err=1.44e-14
5620/10000  err=1.44e-14
5630/10000  err=1.43e-14
5640/10000  err=1.43e-14
5650/10000  err=1.43e-14
5660/10000  err=1.43e-14
5670/10000  err=1.42e-14
5680/10000  err=1.42e-14
5690/10000  err=1.42e-14
5700/10000  err=1.42e-14
5710/10000  err=1.41e-14
5720/10000  err=1.41e-14
5730/10000  err=1.41e-14
5740/10000  err=1.41e-14
5750/10000  err=1.40e-14
5760/10000  err=1.40e-14
5770/10000  err=1.40e-14
5780/10000  err=1.40e-14
5790/10000  err=1.39e-14
5800/10000  err=1.39e-14
5810/10000  err=1.39e-14
5820/10000  err=1.39e-14
5830/10000  err=1.38e-14
5840/10000  err=1.38e-14
5850/10000  err=1.38e-14
5860/10000  err=1.38e-14
5870/10000  err=1.37e-14
5880/10000  err=1.37e-14
5890/10000  err=1.37e-14
5900/10000  err=1.37e-14
5910/10000  err=1.36e-14
5920/10000  err=1.36e-14
5930/10000  err=1.36e-14
5940/10000  err=1.36e-14
5950/10000  err=1.36e-14
5960/10000  err=1.35e-14
5970/10000  err=1.35e-14
5980/10000  err=1.35e-14
5990/10000  err=1.35e-14
6000/10000  err=1.34e-14
6010/10000  err=1.34e-14
6020/10000  err=1.34e-14
6030/10000  err=1.34e-14
6040/10000  err=1.34e-14
6050/10000  err=1.33e-14
6060/10000  err=1.33e-14
6070/10000  err=1.33e-14
6080/10000  err=1.33e-14
6090/10000  err=1.32e-14
6100/10000  err=1.32e-14
6110/10000  err=1.32e-14
6120/10000  err=1.32e-14
6130/10000  err=1.32e-14
6140/10000  err=1.31e-14
6150/10000  err=1.31e-14
6160/10000  err=1.31e-14
6170/10000  err=1.31e-14
6180/10000  err=1.31e-14
6190/10000  err=1.30e-14
6200/10000  err=1.30e-14
6210/10000  err=1.30e-14
6220/10000  err=1.30e-14
6230/10000  err=1.29e-14
6240/10000  err=1.29e-14
6250/10000  err=1.29e-14
6260/10000  err=1.29e-14
6270/10000  err=1.29e-14
6280/10000  err=1.28e-14
6290/10000  err=1.28e-14
6300/10000  err=1.28e-14
6310/10000  err=1.28e-14
6320/10000  err=1.28e-14
6330/10000  err=1.27e-14
6340/10000  err=1.27e-14
6350/10000  err=1.27e-14
6360/10000  err=1.27e-14
6370/10000  err=1.27e-14
6380/10000  err=1.26e-14
6390/10000  err=1.26e-14
6400/10000  err=1.26e-14
6410/10000  err=1.26e-14
6420/10000  err=1.26e-14
6430/10000  err=1.25e-14
6440/10000  err=1.25e-14
6450/10000  err=1.25e-14
6460/10000  err=1.25e-14
6470/10000  err=1.25e-14
6480/10000  err=1.24e-14
6490/10000  err=1.24e-14
6500/10000  err=1.24e-14
6510/10000  err=1.24e-14
6520/10000  err=1.24e-14
6530/10000  err=1.24e-14
6540/10000  err=1.23e-14
6550/10000  err=1.23e-14
6560/10000  err=1.23e-14
6570/10000  err=1.23e-14
6580/10000  err=1.23e-14
6590/10000  err=1.22e-14
6600/10000  err=1.22e-14
6610/10000  err=1.22e-14
6620/10000  err=1.22e-14
6630/10000  err=1.22e-14
6640/10000  err=1.21e-14
6650/10000  err=1.21e-14
6660/10000  err=1.21e-14
6670/10000  err=1.21e-14
6680/10000  err=1.21e-14
6690/10000  err=1.21e-14
6700/10000  err=1.20e-14
6710/10000  err=1.20e-14
6720/10000  err=1.20e-14
6730/10000  err=1.20e-14
6740/10000  err=1.20e-14
6750/10000  err=1.19e-14
6760/10000  err=1.19e-14
6770/10000  err=1.19e-14
6780/10000  err=1.19e-14
6790/10000  err=1.19e-14
6800/10000  err=1.19e-14
6810/10000  err=1.18e-14
6820/10000  err=1.18e-14
6830/10000  err=1.18e-14
6840/10000  err=1.18e-14
6850/10000  err=1.18e-14
6860/10000  err=1.18e-14
6870/10000  err=1.17e-14
6880/10000  err=1.17e-14
6890/10000  err=1.17e-14
6900/10000  err=1.17e-14
6910/10000  err=1.17e-14
6920/10000  err=1.17e-14
6930/10000  err=1.16e-14
6940/10000  err=1.16e-14
6950/10000  err=1.16e-14
6960/10000  err=1.16e-14
6970/10000  err=1.16e-14
6980/10000  err=1.16e-14
6990/10000  err=1.15e-14
7000/10000  err=1.15e-14
7010/10000  err=1.15e-14
7020/10000  err=1.15e-14
7030/10000  err=1.15e-14
7040/10000  err=1.15e-14
7050/10000  err=1.14e-14
7060/10000  err=1.14e-14
7070/10000  err=1.14e-14
7080/10000  err=1.14e-14
7090/10000  err=1.14e-14
7100/10000  err=1.14e-14
7110/10000  err=1.13e-14
7120/10000  err=1.13e-14
7130/10000  err=1.13e-14
7140/10000  err=1.13e-14
7150/10000  err=1.13e-14
7160/10000  err=1.13e-14
7170/10000  err=1.12e-14
7180/10000  err=1.12e-14
7190/10000  err=1.12e-14
7200/10000  err=1.12e-14
7210/10000  err=1.12e-14
7220/10000  err=1.12e-14
7230/10000  err=1.12e-14
7240/10000  err=1.11e-14
7250/10000  err=1.11e-14
7260/10000  err=1.11e-14
7270/10000  err=1.11e-14
7280/10000  err=1.11e-14
7290/10000  err=1.11e-14
7300/10000  err=1.10e-14
7310/10000  err=1.10e-14
7320/10000  err=1.10e-14
7330/10000  err=1.10e-14
7340/10000  err=1.10e-14
7350/10000  err=1.10e-14
7360/10000  err=1.10e-14
7370/10000  err=1.09e-14
7380/10000  err=1.09e-14
7390/10000  err=1.09e-14
7400/10000  err=1.09e-14
7410/10000  err=1.09e-14
7420/10000  err=1.09e-14
7430/10000  err=1.09e-14
7440/10000  err=1.08e-14
7450/10000  err=1.08e-14
7460/10000  err=1.08e-14
7470/10000  err=1.08e-14
7480/10000  err=1.08e-14
7490/10000  err=1.08e-14
7500/10000  err=1.07e-14
7510/10000  err=1.07e-14
7520/10000  err=1.07e-14
7530/10000  err=1.07e-14
7540/10000  err=1.07e-14
7550/10000  err=1.07e-14
7560/10000  err=1.07e-14
7570/10000  err=1.06e-14
7580/10000  err=1.06e-14
7590/10000  err=1.06e-14
7600/10000  err=1.06e-14
7610/10000  err=1.06e-14
7620/10000  err=1.06e-14
7630/10000  err=1.06e-14
7640/10000  err=1.06e-14
7650/10000  err=1.05e-14
7660/10000  err=1.05e-14
7670/10000  err=1.05e-14
7680/10000  err=1.05e-14
7690/10000  err=1.05e-14
7700/10000  err=1.05e-14
7710/10000  err=1.05e-14
7720/10000  err=1.04e-14
7730/10000  err=1.04e-14
7740/10000  err=1.04e-14
7750/10000  err=1.04e-14
7760/10000  err=1.04e-14
7770/10000  err=1.04e-14
7780/10000  err=1.04e-14
7790/10000  err=1.03e-14
7800/10000  err=1.03e-14
7810/10000  err=1.03e-14
7820/10000  err=1.03e-14
7830/10000  err=1.03e-14
7840/10000  err=1.03e-14
7850/10000  err=1.03e-14
7860/10000  err=1.03e-14
7870/10000  err=1.02e-14
7880/10000  err=1.02e-14
7890/10000  err=1.02e-14
7900/10000  err=1.02e-14
7910/10000  err=1.02e-14
7920/10000  err=1.02e-14
7930/10000  err=1.02e-14
7940/10000  err=1.02e-14
7950/10000  err=1.01e-14
7960/10000  err=1.01e-14
7970/10000  err=1.01e-14
7980/10000  err=1.01e-14
7990/10000  err=1.01e-14
8000/10000  err=1.01e-14
8010/10000  err=1.01e-14
8020/10000  err=1.01e-14
8030/10000  err=1.00e-14
8040/10000  err=1.00e-14
8050/10000  err=1.00e-14
8060/10000  err=1.00e-14
8070/10000  err=9.99e-15
8080/10000  err=9.98e-15
8090/10000  err=9.96e-15
8100/10000  err=9.95e-15
8110/10000  err=9.94e-15
8120/10000  err=9.93e-15
8130/10000  err=9.91e-15
8140/10000  err=9.90e-15
8150/10000  err=9.89e-15
8160/10000  err=9.88e-15
8170/10000  err=9.87e-15
8180/10000  err=9.85e-15
8190/10000  err=9.84e-15
8200/10000  err=9.83e-15
8210/10000  err=9.82e-15
8220/10000  err=9.81e-15
8230/10000  err=9.79e-15
8240/10000  err=9.78e-15
8250/10000  err=9.77e-15
8260/10000  err=9.76e-15
8270/10000  err=9.75e-15
8280/10000  err=9.74e-15
8290/10000  err=9.72e-15
8300/10000  err=9.71e-15
8310/10000  err=9.70e-15
8320/10000  err=9.69e-15
8330/10000  err=9.68e-15
8340/10000  err=9.66e-15
8350/10000  err=9.65e-15
8360/10000  err=9.64e-15
8370/10000  err=9.63e-15
8380/10000  err=9.62e-15
8390/10000  err=9.61e-15
8400/10000  err=9.60e-15
8410/10000  err=9.58e-15
8420/10000  err=9.57e-15
8430/10000  err=9.56e-15
8440/10000  err=9.55e-15
8450/10000  err=9.54e-15
8460/10000  err=9.53e-15
8470/10000  err=9.52e-15
8480/10000  err=9.51e-15
8490/10000  err=9.49e-15
8500/10000  err=9.48e-15
8510/10000  err=9.47e-15
8520/10000  err=9.46e-15
8530/10000  err=9.45e-15
8540/10000  err=9.44e-15
8550/10000  err=9.43e-15
8560/10000  err=9.42e-15
8570/10000  err=9.41e-15
8580/10000  err=9.39e-15
8590/10000  err=9.38e-15
8600/10000  err=9.37e-15
8610/10000  err=9.36e-15
8620/10000  err=9.35e-15
8630/10000  err=9.34e-15
8640/10000  err=9.33e-15
8650/10000  err=9.32e-15
8660/10000  err=9.31e-15
8670/10000  err=9.30e-15
8680/10000  err=9.29e-15
8690/10000  err=9.28e-15
8700/10000  err=9.26e-15
8710/10000  err=9.25e-15
8720/10000  err=9.24e-15
8730/10000  err=9.23e-15
8740/10000  err=9.22e-15
8750/10000  err=9.21e-15
8760/10000  err=9.20e-15
8770/10000  err=9.19e-15
8780/10000  err=9.18e-15
8790/10000  err=9.17e-15
8800/10000  err=9.16e-15
8810/10000  err=9.15e-15
8820/10000  err=9.14e-15
8830/10000  err=9.13e-15
8840/10000  err=9.12e-15
8850/10000  err=9.11e-15
8860/10000  err=9.10e-15
8870/10000  err=9.09e-15
8880/10000  err=9.08e-15
8890/10000  err=9.07e-15
8900/10000  err=9.06e-15
8910/10000  err=9.05e-15
8920/10000  err=9.04e-15
8930/10000  err=9.03e-15
8940/10000  err=9.02e-15
8950/10000  err=9.01e-15
8960/10000  err=9.00e-15
8970/10000  err=8.99e-15
8980/10000  err=8.98e-15
8990/10000  err=8.97e-15
9000/10000  err=8.96e-15
9010/10000  err=8.95e-15
9020/10000  err=8.94e-15
9030/10000  err=8.93e-15
9040/10000  err=8.92e-15
9050/10000  err=8.91e-15
9060/10000  err=8.90e-15
9070/10000  err=8.89e-15
9080/10000  err=8.88e-15
9090/10000  err=8.87e-15
9100/10000  err=8.86e-15
9110/10000  err=8.85e-15
9120/10000  err=8.84e-15
9130/10000  err=8.83e-15
9140/10000  err=8.82e-15
9150/10000  err=8.81e-15
9160/10000  err=8.80e-15
9170/10000  err=8.79e-15
9180/10000  err=8.78e-15
9190/10000  err=8.77e-15
9200/10000  err=8.76e-15
9210/10000  err=8.75e-15
9220/10000  err=8.74e-15
9230/10000  err=8.73e-15
9240/10000  err=8.72e-15
9250/10000  err=8.71e-15
9260/10000  err=8.70e-15
9270/10000  err=8.69e-15
9280/10000  err=8.68e-15
9290/10000  err=8.68e-15
9300/10000  err=8.67e-15
9310/10000  err=8.66e-15
9320/10000  err=8.65e-15
9330/10000  err=8.64e-15
9340/10000  err=8.63e-15
9350/10000  err=8.62e-15
9360/10000  err=8.61e-15
9370/10000  err=8.60e-15
9380/10000  err=8.59e-15
