step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
122,0.77,46.7626,+0.1032,-8.1921,54.9548,110.6045,+119.5578,14759.6230,3172.0776
123,0.76,46.4589,-0.1094,-8.1862,54.6451,110.4165,+118.5279,14509.7383,3139.1035
124,0.76,46.1291,-0.6425,-8.1509,54.2800,104.5732,+117.9986,14375.5000,3128.2832
125,0.77,45.7761,-0.5399,-8.1663,53.9425,106.3384,+117.6236,14269.0918,3115.9512
126,0.77,46.2982,-0.3324,-8.1669,54.4651,107.7163,+117.6642,14290.9912,3141.3521
127,0.76,45.7276,-0.5093,-8.1860,53.9136,116.2876,+117.0287,14151.9912,3112.8066
128,0.75,46.1488,-0.3793,-8.1860,54.3348,127.0569,+118.0485,14411.9980,3153.5303
129,0.76,45.7222,-0.6427,-8.1837,53.9060,114.7883,+117.1954,14195.1611,3131.1597
130,0.75,45.8412,-0.5701,-8.1909,54.0321,106.7578,+116.8384,14088.3086,3119.0996
131,0.76,45.4847,-0.5547,-8.1794,53.6641,119.4106,+116.6985,14091.0254,3119.9890
132,0.74,44.8238,-0.8334,-8.1610,52.9848,136.4635,+114.8999,13727.4082,3054.3472
133,0.74,45.1708,+0.0248,-8.1590,53.3298,106.3137,+115.6147,13831.7324,3092.7107
134,0.76,45.1723,-0.1620,-8.1654,53.3376,113.6074,+115.6478,13842.8486,3091.9360
135,0.74,45.2352,-0.2300,-8.1659,53.4010,96.7673,+115.4096,13766.7207,3087.1260
136,0.76,44.5511,-0.5291,-8.1569,52.7080,103.6947,+113.9379,13446.7051,3039.6580
137,0.75,44.3572,-0.4590,-8.1633,52.5205,106.9412,+114.0129,13465.9453,3037.1138
138,0.74,44.8797,-0.4750,-8.1742,53.0540,98.0094,+114.3399,13537.7949,3075.0742
139,0.75,44.4692,-0.8097,-8.1603,52.6295,106.0118,+114.0062,13480.4863,3072.9678
140,0.75,44.5637,-0.2980,-8.1619,52.7256,101.3873,+113.9551,13455.3672,3065.1392
141,0.75,44.3353,-0.2120,-8.1766,52.5119,105.5447,+113.7683,13412.6562,3056.8960
142,0.75,44.1156,-0.6903,-8.1712,52.2868,105.0293,+112.8143,13213.0215,3030.2651
143,0.75,44.0637,+0.0233,-8.1652,52.2289,108.2856,+113.1399,13259.2129,3031.3225
144,0.76,43.8321,-0.5807,-8.1709,52.0030,98.3594,+112.5950,13087.5078,3007.1411
145,0.75,43.7169,-0.5093,-8.1693,51.8863,94.8375,+111.8693,12931.5703,3002.4795
146,0.75,43.1333,-0.4483,-8.1541,51.2874,84.8077,+110.4827,12599.7363,2949.9282
147,0.74,42.9085,-0.8953,-8.1498,51.0583,98.7693,+109.9275,12484.1484,2925.3662
148,0.75,43.0523,-0.5456,-8.1495,51.2018,111.4030,+109.7086,12475.4619,2947.0264
149,0.76,42.9328,-0.5059,-8.1548,51.0877,108.5946,+109.5556,12424.7627,2939.6526
150,0.75,42.9000,-0.8582,-8.1347,51.0346,96.6931,+108.9304,12285.8535,2924.6265
151,0.76,42.8219,-1.0725,-8.1316,50.9535,93.2682,+108.9070,12289.4209,2932.3618
152,0.75,42.2328,-0.7516,-8.1302,50.3630,90.1602,+108.0631,12068.0508,2886.7578
153,0.75,42.2557,-0.3220,-8.1489,50.4046,100.4209,+108.0288,12085.3350,2895.7705
154,0.74,42.5811,-0.7269,-8.1452,50.7263,78.8075,+108.0475,12056.4805,2900.1401
155,0.75,42.5504,-0.5339,-8.1235,50.6738,89.9270,+107.7668,12028.0830,2894.4707
156,0.74,42.4312,-0.8155,-8.1308,50.5620,101.7079,+107.9914,12093.6826,2894.3052
157,0.75,42.6362,-0.7783,-8.1166,50.7527,99.4875,+107.8660,12085.8574,2916.2451
158,0.74,42.4695,-0.4993,-8.1355,50.6049,139.7751,+106.8353,11932.0195,2898.4163
159,0.74,42.3709,-1.1527,-8.1121,50.4831,121.7882,+107.3761,12007.7324,2909.0254
160,0.74,42.2343,-0.8214,-8.1299,50.3643,101.5249,+106.5554,11798.2168,2904.5410
161,0.73,41.9400,-0.8093,-8.0997,50.0397,115.3993,+106.7518,11879.3711,2881.1660
162,0.73,41.7018,-0.5256,-8.0901,49.7919,106.2452,+106.2152,11738.9961,2849.6375
163,0.73,41.7387,-0.8809,-8.1135,49.8522,97.7960,+106.1998,11715.6572,2863.5759
164,0.73,42.2386,-0.4755,-8.1012,50.3398,108.0542,+106.8983,11897.9609,2905.2034
165,0.74,41.7348,-0.6791,-8.1045,49.8393,103.7384,+106.0959,11699.6143,2864.5239
166,0.74,41.5028,-0.8290,-8.0850,49.5878,94.7246,+105.7448,11649.2695,2850.8433
167,0.74,41.2035,-0.2717,-8.0991,49.3026,95.2791,+104.2890,11309.9521,2817.4028
168,0.74,40.5697,-0.3025,-8.1044,48.6741,94.3159,+104.2874,11309.6406,2782.1204
