step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
211,0.68,48.1650,+0.1851,-7.8814,56.0464,104.2773,+109.2361,12476.4990,3282.7786
212,0.71,48.0054,-0.1605,-7.9122,55.9176,93.3037,+109.2228,12445.9414,3293.2793
213,0.72,47.0952,-0.9477,-7.8701,54.9653,125.5349,+108.4608,12326.7236,3228.8525
214,0.71,47.1121,+0.0039,-7.8939,55.0059,97.4607,+107.2785,12084.4922,3212.1318
215,0.71,46.7203,-0.8050,-7.8826,54.6029,106.0723,+105.3573,11584.9102,3187.0283
216,0.69,47.2530,+0.5414,-7.8753,55.1283,75.3289,+106.6593,11885.7734,3234.7656
217,0.71,45.9332,-0.2779,-7.9111,53.8444,80.8914,+104.9116,11448.4961,3136.4539
218,0.71,47.1639,-0.3903,-7.9128,55.0767,83.6147,+104.3792,11297.4746,3215.4097
219,0.71,46.8855,+0.1578,-7.9111,54.7967,105.9702,+106.0470,11790.6895,3194.0642
220,0.70,45.7717,+0.1854,-7.9069,53.6786,111.8271,+105.3910,11622.1328,3101.5498
221,0.71,46.9207,+0.4231,-7.9232,54.8438,103.6050,+104.9941,11555.7256,3167.7891
222,0.72,46.8178,+0.8199,-7.8886,54.7064,88.0620,+106.3004,11738.4512,3166.6211
223,0.70,46.2564,-0.1104,-7.8819,54.1383,79.0996,+104.1538,11306.3340,3130.9277
224,0.69,46.0183,+0.2463,-7.8725,53.8908,119.7881,+104.7952,11513.2305,3114.3958
225,0.70,45.9152,+0.0314,-7.8390,53.7542,99.9021,+104.2911,11310.4980,3075.3494
226,0.70,46.1298,+0.2719,-7.8541,53.9839,110.1670,+103.9403,11364.2578,3100.4365
227,0.71,46.7235,+0.3635,-7.8851,54.6086,75.6968,+104.2244,11321.8223,3162.1836
228,0.72,46.4089,-0.2555,-7.8622,54.2711,88.7529,+103.8190,11179.7402,3147.3716
229,0.69,45.5801,-0.4840,-7.8643,53.4444,105.6824,+102.6604,10958.4287,3084.8115
230,0.71,45.6878,-0.2868,-7.8704,53.5582,56.7952,+101.5301,10703.2441,3089.2590
231,0.71,45.8128,+0.0763,-7.9011,53.7139,51.6636,+104.6031,11362.3877,3126.0632
232,0.70,44.9625,-1.3143,-7.9003,52.8628,81.0667,+105.1001,11588.8975,3091.0059
233,0.69,45.1990,-0.7753,-7.8937,53.0926,95.4423,+100.4984,10630.3652,3069.5312
234,0.72,44.9198,+0.1434,-7.8926,52.8124,63.4794,+103.0460,11040.4580,3069.5171
235,0.72,44.7215,-0.3523,-7.8923,52.6138,85.0632,+101.2718,10643.0645,3062.1655
236,0.72,44.9708,-0.6841,-7.8683,52.8390,102.6344,+102.2931,10990.7129,3081.0903
237,0.71,45.1881,-0.7810,-7.8643,53.0523,87.5774,+100.6841,10583.0918,3061.4417
238,0.70,44.4675,+0.8021,-7.8590,52.3265,78.5405,+101.6115,10722.7930,3048.6794
239,0.71,44.4694,-0.2945,-7.8165,52.2859,93.1809,+98.6207,10130.1719,3032.1763
240,0.70,44.1234,-0.2836,-7.8176,51.9410,68.2112,+98.5655,10110.9307,3000.1511
241,0.71,43.4470,+0.1601,-7.8104,51.2574,66.4011,+100.0805,10420.5059,2970.2578
242,0.70,42.9388,+0.0856,-7.7911,50.7299,70.8555,+98.2826,10033.7012,2917.5674
243,0.71,43.0729,-0.0190,-7.7990,50.8720,43.6666,+98.5017,10080.6875,2929.4202
244,0.72,43.0106,-0.5092,-7.7905,50.8012,71.0017,+100.5654,10496.2012,2933.9819
245,0.72,43.2379,-0.2715,-7.7695,51.0074,61.2780,+95.8330,9493.5918,2914.5408
246,0.71,42.3406,-0.0230,-7.7546,50.0952,108.2037,+98.7593,10109.5098,2871.5879
247,0.72,42.8406,-0.1710,-7.8160,50.6566,66.2684,+99.2024,10200.2363,2913.6978
248,0.71,43.1439,-0.7627,-7.7844,50.9283,71.5710,+98.2474,10061.9609,2919.2622
249,0.72,42.8782,+0.0373,-7.7801,50.6583,66.5688,+97.7589,9922.9473,2895.3608
250,0.70,42.2136,-0.3259,-7.7786,49.9922,67.5903,+97.9231,9946.4541,2855.7075
251,0.72,43.2272,-0.0603,-7.7776,51.0048,68.8628,+99.6334,10296.2285,2920.6106
252,0.72,41.8454,-0.3933,-7.7890,49.6344,73.8630,+96.2693,9667.2598,2821.3528
253,0.71,42.0190,-0.0760,-7.7649,49.7839,63.2660,+97.6987,9935.5879,2841.4524
254,0.71,41.1645,-0.5206,-7.7623,48.9268,73.9736,+99.1658,10147.0938,2782.5117
255,0.72,40.8144,-0.1214,-7.7607,48.5751,74.5319,+94.4698,9341.7119,2767.4070
256,0.71,41.1113,+0.2466,-7.7693,48.8807,88.5991,+95.2099,9567.3945,2814.1465
257,0.73,41.7209,-0.4109,-7.7753,49.4962,76.3616,+95.3675,9609.4863,2857.8667
258,0.72,42.0209,+0.6707,-7.7570,49.7779,113.3744,+97.7830,10074.5586,2924.9316
259,0.70,41.2474,+0.1378,-7.7666,49.0139,88.9163,+96.6222,9796.3730,2872.1423
260,0.70,41.2746,+0.4180,-7.7544,49.0289,79.7484,+94.1725,9398.1758,2852.0315
261,0.71,41.0388,+0.2637,-7.7604,48.7992,97.4680,+92.8620,9135.6895,2813.2378
262,0.71,40.3751,-0.9640,-7.7883,48.1634,112.1908,+94.2781,9457.9980,2792.0771
263,0.71,40.1091,-0.2047,-7.7771,47.8862,84.9796,+91.1031,8794.4443,2791.4902
264,0.71,40.4824,-0.4833,-7.7388,48.2212,102.6135,+93.4760,9239.9434,2853.5649
265,0.70,39.2740,-0.4118,-7.7427,47.0168,82.2499,+90.3522,8644.7559,2754.5176
266,0.70,38.9767,-0.1881,-7.7411,46.7178,103.9626,+91.3795,8906.5273,2748.0940
267,0.70,39.4467,-0.1782,-7.7445,47.1913,86.9399,+90.8323,8718.1035,2773.3748
268,0.69,39.4802,-0.4043,-7.7522,47.2323,100.7041,+90.4409,8651.6387,2789.4082
269,0.72,38.9196,+0.0316,-7.7711,46.6907,113.9047,+90.4081,8656.6279,2732.0356
270,0.70,39.1865,-0.7278,-7.7629,46.9494,96.5126,+89.3786,8426.7383,2753.6814
